Country,year,Cars,Buses,Motorcycles,Trucks,Total
Singapore,2023,667388,18249,143992,167103,996732
Singapore,2022,667048,18239,143092,167367,995746
Singapore,2021,662246,18846,142229,165434,988755
Singapore,2020,651858,19251,141403,161478,973990
Singapore,2019,651223,19661,140891,161326,973101
Singapore,2018,638636,19379,137480,161511,957006
Singapore,2017,637929,19285,141916,162712,961842
Singapore,2016,631297,18804,143052,163277,956430
Singapore,2015,632981,18183,143900,162182,957246
Singapore,2014,647759,17554,145026,161698,972037
Singapore,2013,651383,17509,144934,160344,974170
Singapore,2012,648221,17162,144110,160417,969910
Singapore,2011,633331,17046,146559,159768,956704
Singapore,2010,623819,16309,148160,157541,945829
Singapore,2009,604073,16023,147215,158207,925518
Singapore,2008,577146,15327,146120,156089,894682
Singapore,2007,541487,14530,144340,150979,851336
Singapore,2006,498051,14120,142736,144466,799373
Singapore,2005,462966,13494,139434,139098,754992
Singapore,2004,439877,13173,137029,137316,727395
Singapore,2003,427110,12951,135649,135333,711043
Singapore,2002,425695,12992,132318,135951,706956
Singapore,2001,426442,12902,131869,137157,708370
Singapore,2000,413545,12569,131937,134756,692807
Singapore,1999,403165,11827,134346,139473,688811
Singapore,1998,395226,11429,133375,141051,681081
Singapore,1997,396430,11240,132629,142905,683204
Singapore,1996,384450,10998,132344,140512,668304
Singapore,1995,363906,10723,129587,137913,642129
Singapore,1994,340647,10198,126156,134610,611611
Singapore,1993,321922,9716,119939,132745,584322
Singapore,1992,302824,9658,116532,128570,557584
Singapore,1991,300116,9478,122410,127300,559304
Singapore,1990,286756,9448,122525,123623,542352
Singapore,1989,271158,9126,120996,119257,520537
Singapore,1988,251414,8924,117570,113900,491808
Singapore,1987,236120,8733,116544,109727,471124
Singapore,1986,234557,8638,120387,110077,473659
Singapore,1985,236250,8717,127564,114229,486760
Singapore,1984,232340,8283,134693,116006,491322
Singapore,1983,216933,7985,141569,109801,476288
Singapore,1982,194433,7585,136899,101359,440276
Singapore,1981,175067,6950,127722,92066,401805
Singapore,1980,152574,6512,118345,na,371341
Singapore,1979,143402,6217,108051,na,338729
Singapore,1978,137240,5874,98248,na,309384
Singapore,1977,134903,5442,89840,na,289954
Singapore,1976,135499,5217,84016,na,279864
Singapore,1975,142045,4935,83145,na,280378
Singapore,1974,142674,4779,84849,na,276866
Singapore,1973,187972,4775,122714,na,367737
Singapore,1972,168991,2936,115619,na,337147
Singapore,1971,155956,2681,109655,na,313907
Singapore,1970,142568,2298,105214,na,290208
Singapore,1969,130088,2096,99265,na,267582
Singapore,1968,121106,1907,90283,na,246427
Singapore,1967,116097,1821,80940,na,229544
Singapore,1966,113287,1660,68746,na,211735
Singapore,1965,104729,1617,60838,na,192422
Singapore,1964,95349,1586,52412,na,171502
Singapore,1963,85668,1492,44926,na,153004
Singapore,1962,77379,1433,35336,na,133645
Singapore,1961,70108,1375,28205,na,117936
